Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Rostroculodes schneideri;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Rostroculodes;423729;;Oui;Oui
Rouleina attrita;Softskin Smooth-Head;Cassigné Noir D Encre;;Animalia;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Rouleina;126709;;;
Rouleina maderensis;Madeiran Smoothhead;;;Animalia;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Rouleina;126710;;;
Rozinante fragilis;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Pontogeneiidae;Rozinante;102246;;Oui;Oui
Ruvettus pretiosus;Oilfish;Rouvet;;Animalia;Chordata;Actinopteri;Scombriformes;Gempylidae;Ruvettus;126867;;;
Sabaco elongatus;;;;Animalia;Annelida;Polychaeta;rank absent;Maldanidae;Sabaco;157550;;;
Sabella pavonina;Peacock Worm;;;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Sabella;130967;;Oui;
Sabella spallanzanii;;;;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Sabella;130969;;;
Sabinea hystrix;Porcupine Shrimp;Crevette Porc-Épic;;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Sabinea;107565;;;
Sabinea sarsii;Sars S Shrimp;Crevette De Sars;;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Sabinea;107566;;Oui;Oui
Sabinea septemcarinata;Sevenline Shrimp;Crevette À Sept Carènes;;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Sabinea;107567;;Oui;Oui
Sabussowia wilhelmii;;;;Animalia;Platyhelminthes;rank absent;Tricladida;Cercyridae;Sabussowia;158317;;Oui;
Saccoglossus kowalevskii;;;;Animalia;Hemichordata;Enteropneusta;[unassigned] Enteropneusta;Harrimaniidae;Saccoglossus;137600;;Oui;Oui
Saccopharynx ampullaceus;Taillight Gulper;Avaleur Feu-Arrière;;Animalia;Chordata;Actinopteri;Saccopharyngiformes;Saccopharyngidae;Saccopharynx;127171;;;
Sacodiscus ovalis;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Tisbidae;Sacodiscus;157717;;Oui;Oui
Salmincola edwardsii;;;;Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Lernaeopodidae;Salmincola;359918;;;
Salmo salar;Atlantic Salmon;Saumon De L Atlantique ou Saumon Atlantique;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;127186;;;Oui
Salmo trutta;Sea Trout ou Brown Trout;Truite De Mer ou Truite Commune ou Truite D Europe;;Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;127187;;;
